product_line,product_type,product_desc
P1,Electronic,TV
Camping Equipment for sales,TV,TV1
Camping Equipment for product data,Cooking Gear_1,TrailChef Single Flame_1
Camping Equipment,Cooking Gear_2,TrailChef Single Flame_2
Camping Equipment,Cooking Gear,TrailChef Single Flame
Camping Equipment,Cooking Gear,TrailChef Utensils
Camping Equipment,Tents,Star Peg
Camping Equipment,Sleeping Bags,Hibernator Lite
Camping Equipment,Lanterns,Firefly Lite
Camping Equipment,Lanterns,Firefly 2
Camping Equipment,Lanterns,Firefly 4
Camping Equipment,Lanterns,EverGlow Butane
Camping Equipment,Cooking Gear,TrailChef Water Bag
Camping Equipment,Cooking Gear,TrailChef Cook Set
Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set
Camping Equipment,Tents,Star Gazer 2
Camping Equipment,Tents,Star Gazer 6
Camping Equipment,Sleeping Bags,Hibernator Camp Cot
Camping Equipment,Packs,Canyon Mule Climber Backpack
Camping Equipment,Lanterns,Firefly Mapreader
Camping Equipment,Lanterns,EverGlow Kerosene
Camping Equipment for product data_1,Cooking Gear,TrailChef Double Flame
Camping Equipment,Tents,Star Lite
Camping Equipment,Sleeping Bags,Hibernator
Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat
Camping Equipment,Packs,Canyon Mule Weekender Backpack
Camping Equipment,Packs,Canyon Mule Journey Backpack
Camping Equipment,Packs,Canyon Mule Cooler
Camping Equipment,Packs,Canyon Mule Carryall
Camping Equipment,Cooking Gear,TrailChef Canteen
Camping Equipment,Cooking Gear,TrailChef Kitchen Kit
Camping Equipment,Cooking Gear,TrailChef Cup
Camping Equipment,Cooking Gear,TrailChef Kettle
Camping Equipment,Tents,Star Dome
Camping Equipment,Tents,Star Gazer 3
Camping Equipment,Sleeping Bags,Hibernator Extreme
Camping Equipment,Sleeping Bags,Hibernator Pad
Camping Equipment,Sleeping Bags,Hibernator Pillow
Camping Equipment,Packs,Canyon Mule Extreme Backpack
Camping Equipment for product data_2,Lanterns,Firefly Extreme
Camping Equipment,Lanterns,Firefly Multi-light
Camping Equipment,Lanterns,EverGlow Single
Camping Equipment,Lanterns,EverGlow Double
Camping Equipment,Lanterns,EverGlow Lamp
Camping Equipment,Lanterns,Flicker Lantern
Camping Equipment for product data_3,line_info,test product
